Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
680,1959.239782,1960.830304,2282.064196,2385.398978,426.1591958,1.389069247,303.6923395,98.36309677,0.201453066,17.54155265,4.971684612,0,26,26,25,0,0,7,2,0
327,895.0982185,939.3437241,1234.175185,1294.803513,399.7052945,33.86793006,279.8058712,54.31519482,10.37757559,15.02558989,6.313132848,2,30,0,0,6,0,0,0,1
328,897.2582131,957.8475516,1252.610934,1308.427841,411.1696274,42.08551101,282.7637316,50.4187493,18.50382747,11.99965042,5.398157605,2,28,0,0,5,0,0,0,1
674,1951.7917,1959.041504,2264.522644,2380.427293,428.6355929,0,293.3949015,99.40680424,7.24980369,8.086238295,16.49784518,0,26,26,23,1,0,7,2,0
647,1865.356038,1877.789872,2370.907341,2372.056559,506.7005219,0,449.8815996,0,12.43383492,43.23586905,1.149218319,0,26,26,25,0,0,4,1,0
663,1904.289079,1916.489748,2366.294868,2369.670751,465.3816718,4.290673481,415.5376942,0,7.909995465,34.26742543,3.37588317,1,25,25,25,0,0,4,0,0
640,1852.843922,1956.185277,2252.436405,2363.929448,511.0855255,0,287.3642179,100.7425912,103.341355,8.886910007,10.75045135,0,26,25,25,2,0,8,2,0
333,912.8664465,984.3370116,1268.404823,1364.968276,452.1018297,42.6444683,280.0568874,88.36648816,28.82609687,4.010923607,8.196965305,2,27,0,0,6,0,0,0,1
334,919.6814102,959.9924917,1264.393899,1318.758119,399.0767092,38.16614144,292.618442,44.03394152,2.144940048,11.78296538,10.33027879,3,28,0,0,4,0,0,0,1
664,1906.708517,1924.586383,2243.549495,2353.178997,446.4704799,9.781231662,303.3701228,100.3389783,8.0966347,15.5929895,9.290522916,1,26,25,25,3,0,7,2,0
336,929.6333334,976.303554,1264.393899,1356.771311,427.1379774,30.35915827,288.090345,54.36422032,16.31106236,0,38.01319145,3,29,0,0,5,0,0,0,1
650,1875.226253,1908.579753,2332.027443,2344.178278,468.9520254,0,403.7054669,4.380364601,33.35350007,19.7422228,7.770470976,0,24,24,25,0,0,6,0,0
338,932.6591178,988.0989304,1272.951689,1367.432882,434.7737645,43.64443625,280.3058923,92.01658667,11.79537636,4.546866791,2.464606159,4,26,0,0,7,0,0,0,1
339,934.5784685,989.4782258,1272.951689,1389.8167,455.2382316,49.75854315,283.4734636,94.48119283,5.141214212,0,22.38381778,5,25,0,0,8,0,0,0,1
656,1889.544122,1906.632608,2227.956506,2343.888474,454.3443516,0,321.3238978,102.0388707,17.088486,0,13.89309708,0,25,25,24,3,0,6,2,0
341,943.0767608,991.158907,1292.218371,1396.151191,453.0744302,45.02216962,281.7927824,97.59832903,3.059976619,4.26668158,6.33449093,5,26,0,0,7,0,0,0,1
643,1856.326758,1880.646374,2312.28522,2336.407807,480.0810495,0,416.0905886,0,24.31961658,15.5482569,24.1225874,0,26,25,25,0,0,7,0,0
657,1891.166846,1899.333086,2227.956506,2329.995377,438.8285305,0,318.3040645,98.11183597,8.166240353,10.31935494,3.927034735,0,25,25,24,3,0,5,2,0
344,951.4548726,995.4207277,1300.244521,1397.55395,446.0990771,38.02335323,296.7976433,95.9066704,5.942501852,8.026149564,1.402758689,6,26,0,0,7,0,0,0,1
645,1862.940774,1864.969422,2327.671472,2329.958523,467.0177496,0,417.8111043,0,2.028648704,44.89094543,2.287051128,0,26,25,25,0,0,7,1,0
346,954.9805915,1014.880864,1310.275221,1411.462856,456.4822641,36.17831551,285.3636565,99.26365634,23.72195708,7.030700509,1.923978145,7,26,0,0,7,0,0,0,1
641,1853.092319,1855.401257,2217.637151,2326.068342,472.9760233,0,354.2893677,81.36283858,2.308938833,7.946525769,27.06835233,0,26,25,25,3,0,5,2,0
632,1833.712969,1841.583554,2282.780527,2314.173643,480.4606744,0,430.9082781,23.58650653,7.870585104,10.28869471,7.806609985,0,24,24,25,0,0,8,1,0
349,961.1647086,998.6808135,1300.244521,1409.538877,448.3741688,34.25601908,301.5637071,97.30942909,3.260085809,0,11.98492776,5,27,0,0,8,0,0,0,1
350,961.8572224,1043.842716,1376.902775,1463.266508,501.409286,36.82359113,318.1735341,79.83507397,45.16190249,11.88652469,6.528659602,6,27,0,0,7,0,0,0,1
