,arrivalA,arrivalB,arrivalC,leaveC,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Queue A,Queue B,QlenB1,QlenB2,Queue C,QlenC1,QlenC2,choice,precheck
295,679.8405548,804.8806044,1007.785119,1099.592982,112.5891366,200.7542929,84.0731494,11.45091309,2.150221369,7.734713935,21,30,0,0,8,0,0,0,1
296,687.504099,711.4255173,976.7549881,978.7306866,0,251.5826458,0,23.92141826,13.74682494,1.975698509,0,15,13,15,5,0,0,1,0
297,692.3832906,807.5813016,1020.629289,1102.054618,112.4973138,200.2038171,78.9636928,2.700697175,4.844170528,2.46163608,21,29,0,0,8,0,0,0,1
298,692.9436128,706.5585132,991.0218362,1038.795839,0,272.8063037,47.61508862,13.61490043,11.6570193,0.158914558,0,14,13,15,5,0,0,0,0
299,700.7563319,823.7620997,1068.618375,1118.177115,106.8249697,243.4198616,47.56427586,16.18079808,1.436413369,1.994464424,20,30,0,0,6,0,0,0,1
300,700.9326357,821.6472195,1050.66358,1113.990758,119.3648695,217.0618831,51.95279438,1.349714209,11.95447719,11.37438369,21,29,0,0,5,0,0,0,1
301,710.8328859,717.6886552,1005.080719,1013.684038,0,258.7667155,1.248323191,6.855769314,28.62534855,7.354995819,0,14,13,13,6,0,0,2,0
302,711.8007722,823.7050308,1067.181961,1116.18265,109.8464473,226.9585489,46.80879658,2.057811374,16.51838149,2.191892654,21,30,0,0,5,0,0,0,1
303,715.2437023,739.7081346,1025.00424,1033.935403,0,265.3725847,0,24.4644323,19.92352105,8.931162724,0,14,14,13,4,0,0,2,0
304,718.0774351,719.5050408,991.0218362,1093.334985,0,271.5167954,47.77400318,1.427605697,0,54.53914595,0,14,14,14,6,0,0,0,0
305,718.8956391,723.6375871,990.7381238,1004.232176,0,253.117401,0,4.741947976,13.98313575,13.4940525,0,14,14,14,5,0,0,1,0
306,725.7005798,833.8739787,1077.044099,1120.045115,98.00445104,234.7443959,41.13301588,1.168947903,8.425724411,1.868000487,21,29,0,0,7,0,0,0,1
307,729.5884651,836.2265585,1082.792187,1126.906266,94.17363461,240.8175406,37.25292842,3.464458776,5.748087947,6.861150673,20,29,0,0,8,0,0,0,1
308,730.6394563,841.5589131,1097.940633,1135.27154,103.2345224,241.2332739,28.96563259,7.684934346,10.1484465,8.365273895,21,30,0,0,7,0,0,0,1
